classid,class,query,inclass,outclass
0,n01855672,n01855672/images/n01855672_0.JPEG,n01855672/images/n01855672_487.JPEG,n09428293/images/n09428293_176.JPEG
0,n01855672,n01855672/images/n01855672_1.JPEG,n01855672/images/n01855672_67.JPEG,n09428293/images/n09428293_172.JPEG
0,n01855672,n01855672/images/n01855672_10.JPEG,n01855672/images/n01855672_12.JPEG,n09428293/images/n09428293_224.JPEG
0,n01855672,n01855672/images/n01855672_100.JPEG,n01855672/images/n01855672_183.JPEG,n03637318/images/n03637318_210.JPEG
0,n01855672,n01855672/images/n01855672_101.JPEG,n01855672/images/n01855672_437.JPEG,n02099712/images/n02099712_161.JPEG
0,n01855672,n01855672/images/n01855672_102.JPEG,n01855672/images/n01855672_433.JPEG,n09428293/images/n09428293_83.JPEG
0,n01855672,n01855672/images/n01855672_103.JPEG,n01855672/images/n01855672_216.JPEG,n09428293/images/n09428293_114.JPEG
0,n01855672,n01855672/images/n01855672_104.JPEG,n01855672/images/n01855672_444.JPEG,n02099712/images/n02099712_88.JPEG
0,n01855672,n01855672/images/n01855672_105.JPEG,n01855672/images/n01855672_440.JPEG,n09428293/images/n09428293_197.JPEG
0,n01855672,n01855672/images/n01855672_106.JPEG,n01855672/images/n01855672_141.JPEG,n09428293/images/n09428293_301.JPEG
0,n01855672,n01855672/images/n01855672_107.JPEG,n01855672/images/n01855672_273.JPEG,n03637318/images/n03637318_180.JPEG
0,n01855672,n01855672/images/n01855672_108.JPEG,n01855672/images/n01855672_480.JPEG,n03637318/images/n03637318_428.JPEG
0,n01855672,n01855672/images/n01855672_109.JPEG,n01855672/images/n01855672_137.JPEG,n02099712/images/n02099712_441.JPEG
0,n01855672,n01855672/images/n01855672_11.JPEG,n01855672/images/n01855672_491.JPEG,n02099712/images/n02099712_438.JPEG
0,n01855672,n01855672/images/n01855672_110.JPEG,n01855672/images/n01855672_60.JPEG,n03637318/images/n03637318_394.JPEG
0,n01855672,n01855672/images/n01855672_111.JPEG,n01855672/images/n01855672_114.JPEG,n09428293/images/n09428293_306.JPEG
0,n01855672,n01855672/images/n01855672_112.JPEG,n01855672/images/n01855672_352.JPEG,n09428293/images/n09428293_470.JPEG
